HMDB ID;Name;Chemical Formula;Monoisotopic Mass;Average Mass;
HMDB63807;TG(i-19:0/i-22:0/a-13:0);C57H110O6;890.8302413;891.501;
HMDB63808;TG(20:0/15:0/14:0);C52H100O6;820.7519909;821.366;
HMDB63809;TG(20:0/10:0/i-12:0);C45H86O6;722.6424405;723.177;
HMDB63810;TG(i-20:0/15:0/a-21:0);C59H114O6;918.8615414;919.555;
HMDB63811;TG(i-20:0/16:0/13:0);C52H100O6;820.7519909;821.366;
HMDB63812;TG(i-20:0/i-13:0/i-15:0);C51H98O6;806.7363409;807.339;
HMDB63813;TG(19:0/a-21:0/i-12:0);C55H106O6;862.7989411;863.447;
HMDB63814;TG(i-19:0/20:0/i-21:0);C63H122O6;974.9241416;975.663;
HMDB63815;TG(20:0/16:0/i-12:0);C51H98O6;806.7363409;807.339;
HMDB63816;TG(20:0/a-13:0/a-17:0);C53H102O6;834.767641;835.393;
HMDB63817;TG(19:0/22:0/i-22:0);C66H128O6;1016.971092;1017.744;
HMDB63818;TG(20:0/18:0/13:0);C54H104O6;848.7832911;849.42;
HMDB63819;TG(i-20:0/i-13:0/i-19:0);C55H106O6;862.7989411;863.447;
HMDB63820;TG(i-19:0/21:0/a-21:0);C64H124O6;988.9397917;989.69;
HMDB63821;TG(19:0/22:0/17:0);C61H118O6;946.8928415;947.609;
HMDB63822;TG(i-20:0/i-15:0/i-14:0);C52H100O6;820.7519909;821.366;
HMDB63823;TG(20:0/12:0/a-17:0);C52H100O6;820.7519909;821.366;
HMDB63824;TG(i-20:0/16:0/i-16:0);C55H106O6;862.7989411;863.447;
HMDB63825;TG(20:0/a-17:0/14:0);C54H104O6;848.7832911;849.42;
HMDB63826;TG(i-20:0/i-18:0/14:0);C55H106O6;862.7989411;863.447;
HMDB63827;TG(i-19:0/21:0/13:0);C56H108O6;876.8145912;877.474;
HMDB63828;TG(20:0/i-14:0/13:0);C50H96O6;792.7206908;793.312;
HMDB63829;TG(i-20:0/15:0/18:0);C56H108O6;876.8145912;877.474;
HMDB63830;TG(20:0/8:0/i-16:0);C47H90O6;750.6737406;751.231;
HMDB63831;TG(i-20:0/i-20:0/17:0);C60H116O6;932.8771915;933.582;
HMDB63832;TG(20:0/i-20:0/i-15:0);C58H112O6;904.8458913;905.528;
HMDB63833;TG(i-20:0/i-15:0/10:0);C48H92O6;764.6893907;765.258;
HMDB63834;TG(20:0/i-16:0/18:0);C57H110O6;890.8302413;891.501;
HMDB63835;TG(20:0/20:0/10:0);C53H102O6;834.767641;835.393;
HMDB63836;TG(i-19:0/a-25:0/22:0);C69H134O6;1059.018042;1059.825;
HMDB63837;TG(i-19:0/i-24:0/20:0);C66H128O6;1016.971092;1017.744;
HMDB63838;TG(i-19:0/20:0/22:0);C64H124O6;988.9397917;989.69;
HMDB63839;TG(20:0/a-17:0/a-21:0);C61H118O6;946.8928415;947.609;
HMDB63840;TG(i-20:0/i-20:0/i-18:0);C61H118O6;946.8928415;947.609;
HMDB63841;TG(20:0/a-13:0/18:0);C54H104O6;848.7832911;849.42;
HMDB63842;TG(i-20:0/16:0/18:0);C57H110O6;890.8302413;891.501;
HMDB63843;TG(20:0/a-15:0/i-12:0);C50H96O6;792.7206908;793.312;
HMDB63844;TG(20:0/i-17:0/i-17:0);C57H110O6;890.8302413;891.501;
HMDB63845;TG(i-20:0/a-17:0/i-17:0);C57H110O6;890.8302413;891.501;
HMDB63846;TG(20:0/i-15:0/i-20:0);C58H112O6;904.8458913;905.528;
HMDB63847;TG(i-20:0/i-14:0/15:0);C52H100O6;820.7519909;821.366;
HMDB63848;TG(19:0/a-21:0/13:0);C56H108O6;876.8145912;877.474;
HMDB63849;TG(i-20:0/i-18:0/13:0);C54H104O6;848.7832911;849.42;
HMDB63850;TG(i-20:0/i-18:0/i-21:0);C62H120O6;960.9084916;961.636;
HMDB63851;TG(i-20:0/19:0/10:0);C52H100O6;820.7519909;821.366;
HMDB63852;TG(20:0/i-16:0/14:0);C53H102O6;834.767641;835.393;
HMDB63853;TG(20:0/18:0/19:0);C60H116O6;932.8771915;933.582;
HMDB63854;TG(20:0/a-17:0/13:0);C53H102O6;834.767641;835.393;
HMDB63855;TG(20:0/i-17:0/21:0);C61H118O6;946.8928415;947.609;
HMDB63856;TG(i-20:0/i-12:0/i-18:0);C53H102O6;834.767641;835.393;
HMDB63857;TG(i-20:0/i-19:0/21:0);C63H122O6;974.9241416;975.663;
HMDB63858;TG(19:0/i-21:0/i-15:0);C58H112O6;904.8458913;905.528;
HMDB63859;TG(20:0/i-13:0/17:0);C53H102O6;834.767641;835.393;
HMDB63860;TG(i-20:0/20:0/i-13:0);C56H108O6;876.8145912;877.474;
HMDB63861;TG(i-20:0/12:0/i-18:0);C53H102O6;834.767641;835.393;
HMDB63862;TG(i-20:0/15:0/20:0);C58H112O6;904.8458913;905.528;
HMDB63863;TG(i-20:0/18:0/i-19:0);C60H116O6;932.8771915;933.582;
HMDB63864;TG(20:0/10:0/a-15:0);C48H92O6;764.6893907;765.258;
HMDB63865;TG(20:0/i-17:0/i-15:0);C55H106O6;862.7989411;863.447;
HMDB63866;TG(i-20:0/i-16:0/i-15:0);C54H104O6;848.7832911;849.42;
HMDB63867;TG(i-20:0/8:0/17:0);C48H92O6;764.6893907;765.258;
HMDB63868;TG(i-20:0/i-16:0/a-15:0);C54H104O6;848.7832911;849.42;
HMDB63869;TG(20:0/i-18:0/i-22:0);C63H122O6;974.9241416;975.663;
HMDB63870;TG(19:0/a-21:0/16:0);C59H114O6;918.8615414;919.555;
HMDB63871;TG(i-20:0/a-13:0/13:0);C49H94O6;778.7050407;779.285;
HMDB63872;TG(i-20:0/13:0/i-21:0);C57H110O6;890.8302413;891.501;
HMDB63873;TG(19:0/a-21:0/i-24:0);C67H130O6;1030.986742;1031.771;
HMDB63874;TG(19:0/a-21:0/8:0);C51H98O6;806.7363409;807.339;
HMDB63875;TG(20:0/19:0/14:0);C56H108O6;876.8145912;877.474;
HMDB63876;TG(20:0/i-13:0/i-15:0);C51H98O6;806.7363409;807.339;
HMDB63877;TG(i-19:0/i-19:0/i-20:0);C61H118O6;946.8928415;947.609;
HMDB63878;TG(i-19:0/20:0/i-22:0);C64H124O6;988.9397917;989.69;
HMDB63879;TG(19:0/i-22:0/15:0);C59H114O6;918.8615414;919.555;
HMDB63880;TG(20:0/17:0/12:0);C52H100O6;820.7519909;821.366;
HMDB63881;TG(20:0/i-16:0/i-14:0);C53H102O6;834.767641;835.393;
HMDB63882;TG(20:0/18:0/a-25:0);C66H128O6;1016.971092;1017.744;
HMDB63883;TG(19:0/i-20:0/i-24:0);C66H128O6;1016.971092;1017.744;
HMDB63884;TG(20:0/i-16:0/a-25:0);C64H124O6;988.9397917;989.69;
HMDB63885;TG(i-19:0/i-21:0/21:0);C64H124O6;988.9397917;989.69;
HMDB63886;TG(20:0/8:0/a-17:0);C48H92O6;764.6893907;765.258;
HMDB63887;TG(19:0/i-22:0/22:0);C66H128O6;1016.971092;1017.744;
HMDB63888;TG(20:0/i-15:0/14:0);C52H100O6;820.7519909;821.366;
HMDB63889;TG(i-20:0/14:0/i-18:0);C55H106O6;862.7989411;863.447;
HMDB63890;TG(i-20:0/13:0/a-21:0);C57H110O6;890.8302413;891.501;
HMDB63891;TG(i-19:0/21:0/12:0);C55H106O6;862.7989411;863.447;
HMDB63892;TG(20:0/18:0/a-15:0);C56H108O6;876.8145912;877.474;
HMDB63893;TG(i-20:0/8:0/21:0);C52H100O6;820.7519909;821.366;
HMDB63894;TG(20:0/i-13:0/i-16:0);C52H100O6;820.7519909;821.366;
HMDB63895;TG(20:0/8:0/19:0);C50H96O6;792.7206908;793.312;
HMDB63896;TG(i-20:0/i-20:0/15:0);C58H112O6;904.8458913;905.528;
HMDB63897;TG(20:0/i-18:0/8:0);C49H94O6;778.7050407;779.285;
HMDB63898;TG(i-20:0/i-17:0/22:0);C62H120O6;960.9084916;961.636;
HMDB63899;TG(i-20:0/i-15:0/18:0);C56H108O6;876.8145912;877.474;
HMDB63900;TG(20:0/20:0/14:0);C57H110O6;890.8302413;891.501;
HMDB63901;TG(i-19:0/20:0/19:0);C61H118O6;946.8928415;947.609;
HMDB63902;TG(i-20:0/i-12:0/13:0);C48H92O6;764.6893907;765.258;
HMDB63903;TG(i-20:0/a-15:0/21:0);C59H114O6;918.8615414;919.555;
HMDB63904;TG(i-20:0/a-17:0/i-19:0);C59H114O6;918.8615414;919.555;
HMDB63905;TG(i-20:0/a-13:0/10:0);C46H88O6;736.6580906;737.204;
HMDB63906;TG(i-19:0/i-24:0/18:0);C64H124O6;988.9397917;989.69;
HMDB63907;TG(i-19:0/i-24:0/i-17:0);C63H122O6;974.9241416;975.663;
HMDB63908;TG(i-20:0/i-12:0/20:0);C55H106O6;862.7989411;863.447;
HMDB63909;TG(i-20:0/i-13:0/i-12:0);C48H92O6;764.6893907;765.258;
HMDB63910;TG(20:0/10:0/i-13:0);C46H88O6;736.6580906;737.204;
HMDB63911;TG(20:0/i-12:0/18:0);C53H102O6;834.767641;835.393;
HMDB63912;TG(i-20:0/i-15:0/i-19:0);C57H110O6;890.8302413;891.501;
HMDB63913;TG(i-20:0/a-15:0/i-18:0);C56H108O6;876.8145912;877.474;
HMDB63914;TG(20:0/i-17:0/i-18:0);C58H112O6;904.8458913;905.528;
HMDB63915;TG(20:0/a-13:0/17:0);C53H102O6;834.767641;835.393;
HMDB63916;TG(19:0/20:0/22:0);C64H124O6;988.9397917;989.69;
HMDB63917;TG(20:0/a-13:0/a-13:0);C49H94O6;778.7050407;779.285;
HMDB63918;TG(i-19:0/a-21:0/i-15:0);C58H112O6;904.8458913;905.528;
HMDB63919;TG(i-20:0/17:0/i-21:0);C61H118O6;946.8928415;947.609;
HMDB63920;TG(20:0/i-16:0/a-15:0);C54H104O6;848.7832911;849.42;
HMDB63921;TG(19:0/i-24:0/21:0);C67H130O6;1030.986742;1031.771;
HMDB63922;TG(i-20:0/i-15:0/15:0);C53H102O6;834.767641;835.393;
HMDB63923;TG(i-20:0/a-15:0/i-16:0);C54H104O6;848.7832911;849.42;
HMDB63924;TG(19:0/a-25:0/i-19:0);C66H128O6;1016.971092;1017.744;
HMDB63925;TG(19:0/21:0/a-17:0);C60H116O6;932.8771915;933.582;
HMDB63926;TG(i-19:0/i-21:0/13:0);C56H108O6;876.8145912;877.474;
HMDB63927;TG(20:0/i-12:0/i-15:0);C50H96O6;792.7206908;793.312;
HMDB63928;TG(i-20:0/i-18:0/8:0);C49H94O6;778.7050407;779.285;
HMDB63929;TG(i-19:0/i-20:0/i-21:0);C63H122O6;974.9241416;975.663;
HMDB63930;TG(i-20:0/i-15:0/a-17:0);C55H106O6;862.7989411;863.447;
HMDB63931;TG(i-20:0/8:0/14:0);C45H86O6;722.6424405;723.177;
HMDB63932;TG(20:0/10:0/a-13:0);C46H88O6;736.6580906;737.204;
HMDB63933;TG(i-20:0/17:0/i-16:0);C56H108O6;876.8145912;877.474;
HMDB63934;TG(20:0/i-15:0/i-15:0);C53H102O6;834.767641;835.393;
HMDB63935;TG(20:0/14:0/i-13:0);C50H96O6;792.7206908;793.312;
HMDB63936;TG(i-20:0/15:0/8:0);C46H88O6;736.6580906;737.204;
HMDB63937;TG(20:0/10:0/17:0);C50H96O6;792.7206908;793.312;
HMDB63938;TG(i-19:0/i-24:0/i-20:0);C66H128O6;1016.971092;1017.744;
HMDB63939;TG(19:0/i-24:0/i-16:0);C62H120O6;960.9084916;961.636;
HMDB63940;TG(i-20:0/14:0/10:0);C47H90O6;750.6737406;751.231;
HMDB63941;TG(i-19:0/22:0/i-21:0);C65H126O6;1002.955442;1003.717;
HMDB63942;TG(20:0/17:0/10:0);C50H96O6;792.7206908;793.312;
HMDB63943;TG(20:0/14:0/17:0);C54H104O6;848.7832911;849.42;
HMDB63944;TG(20:0/15:0/19:0);C57H110O6;890.8302413;891.501;
HMDB63945;TG(19:0/19:0/a-21:0);C62H120O6;960.9084916;961.636;
HMDB63946;TG(20:0/i-12:0/13:0);C48H92O6;764.6893907;765.258;
HMDB63947;TG(i-20:0/a-15:0/15:0);C53H102O6;834.767641;835.393;
HMDB63948;TG(20:0/i-19:0/i-18:0);C60H116O6;932.8771915;933.582;
