# ID will be use to load map from url			
# subsystem name_id must be a valid name in the subsystem table			
# filename must be a .svg with only [a-zA-Z0-9_] characters			
#NAME_ID	subsystem name_id	name	filename
#sce00970_aminoacyl_trna_biosynthesis	sce00970_aminoacyl_trna_biosynthesis	Aminoacyl-tRNA biosynthesis	aminoacyl_trna_biosynthesis.svg
sce00040_pentose_and_glucuronate_interconversions	sce00040_pentose_and_glucuronate_interconversions	Pentose and glucuronate interconversions	pentose_and_glucuronate_interconversions.svg
sce00561_glycerolipid_metabolism	sce00561_glycerolipid_metabolism	Glycerolipid metabolism	glycerolipid_metabolism.svg
#sce00791_atrazine_degradation	sce00791_atrazine_degradation	Atrazine degradation	atrazine_degradation.svg
#sce00513_various_types_of_n_glycan_biosynthesis	sce00513_various_types_of_n_glycan_biosynthesis	Various types of N-glycan biosynthesis	various_types_of_n_glycan_biosynthesis.svg
#sce00514_other_types_of_o_glycan_biosynthesis	sce00514_other_types_of_o_glycan_biosynthesis	Other types of O-glycan biosynthesis	other_types_of_o_glycan_biosynthesis.svg
sce00052_galactose_metabolism	sce00052_galactose_metabolism	Galactose metabolism	galactose_metabolism.svg
sce00240_pyrimidine_metabolism	sce00240_pyrimidine_metabolism	Pyrimidine metabolism	pyrimidine_metabolism.svg
#sce00261_monobactam_biosynthesis	sce00261_monobactam_biosynthesis	Monobactam biosynthesis	monobactam_biosynthesis.svg
sce00510_n_glycan_biosynthesis	sce00510_n_glycan_biosynthesis	N-Glycan biosynthesis	n_glycan_biosynthesis.svg
sce00520_amino_sugar_and_nucleotide_sugar_metabolism	sce00520_amino_sugar_and_nucleotide_sugar_metabolism	Amino sugar and nucleotide sugar metabolism	amino_sugar_and_nucleotide_sugar_metabolism.svg
# map in progress? Remap later			
sce00564_glycerophospholipid_metabolism	sce00564_glycerophospholipid_metabolism	Glycerophospholipid metabolism	glycerolipid_metabolism_or_glycerophospholipid_metabolism.svg
#sce00440_phosphonate_and_phosphinate_metabolism	sce00440_phosphonate_and_phosphinate_metabolism	Phosphonate and phosphinate metabolism	phosphonate_and_phosphinate_metabolism.svg
#sce00515_mannose_type_o_glycan_biosynthesis	sce00515_mannose_type_o_glycan_biosynthesis	Mannose type O-glycan biosynthesis	mannose_type_o_glycan_biosynthesis.svg
#sce03018_rna_degradation	sce03018_rna_degradation	RNA degradation	rna_degradation.svg
#sce00430_taurine_and_hypotaurine_metabolism	sce00430_taurine_and_hypotaurine_metabolism	Taurine and hypotaurine metabolism	taurine_and_hypotaurine_metabolism.svg
# glutathione map have no reactions in common with the subsystem			
sce00480_glutathione_metabolism	sce00480_glutathione_metabolism	Glutathione metabolism	glutathione_metabolism.svg
#sce00332_carbapenem_biosynthesis	sce00332_carbapenem_biosynthesis	Carbapenem biosynthesis	carbapenem_biosynthesis.svg
