# ID will be use to load map from url
# subsystem name_id must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name_id	name	filename
beta_oxidation_of_even_chain_fatty_acids_peroxisomal	beta_oxidation_of_even_chain_fatty_acids_peroxisomal	Beta oxidation of even-chain fatty acids (peroxisomal)	beta_oxidation_of_even_chain_fatty_acids_peroxisomal.svg
beta_oxidation_of_odd_chain_fatty_acids_peroxisomal	beta_oxidation_of_odd_chain_fatty_acids_peroxisomal	Beta oxidation of odd-chain fatty acids (peroxisomal)	beta_oxidation_of_odd_chain_fatty_acids_peroxisomal.svg
beta_oxidation_of_even_chain_fatty_acids_mitochondrial	beta_oxidation_of_even_chain_fatty_acids_mitochondrial	Beta oxidation of even-chain fatty acids (mitochondrial)	beta_oxidation_of_even_chain_fatty_acids_mitochondrial.svg
beta_oxidation_of_odd_chain_fatty_acids_mitochondrial	beta_oxidation_of_odd_chain_fatty_acids_mitochondrial	Beta oxidation of odd-chain fatty acids (mitochondrial)	beta_oxidation_of_odd_chain_fatty_acids_mitochondrial.svg
beta_oxidation_of_unsaturated_fatty_acids_n_9_mitochondrial	beta_oxidation_of_unsaturated_fatty_acids_n_9_mitochondrial	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	beta_oxidation_of_unsaturated_fatty_acids_n_9_mitochondrial.svg
beta_oxidation_of_unsaturated_fatty_acids_n_7_mitochondrial	beta_oxidation_of_unsaturated_fatty_acids_n_7_mitochondrial	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	beta_oxidation_of_unsaturated_fatty_acids_n_7_mitochondrial.svg
beta_oxidation_of_di_unsaturated_fatty_acids_n_6_mitochondrial	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_mitochondrial	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_mitochondrial.svg
beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal.svg
beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal	beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal.svg
beta_oxidation_of_unsaturated_fatty_acids_n_7_peroxisomal	beta_oxidation_of_unsaturated_fatty_acids_n_7_peroxisomal	Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)	beta_oxidation_of_unsaturated_fatty_acids_n_7_peroxisomal.svg
beta_oxidation_of_phytanic_acid_peroxisomal	beta_oxidation_of_phytanic_acid_peroxisomal	Beta oxidation of phytanic acid (peroxisomal)	beta_oxidation_of_phytanic_acid_peroxisomal.svg
beta_oxidation_of_branched_chain_fatty_acids_mitochondrial	beta_oxidation_of_branched_chain_fatty_acids_mitochondrial	Beta oxidation of branched-chain fatty acids (mitochondrial)	beta_oxidation_of_branched_chain_fatty_acids_mitochondrial.svg
pyruvate_metabolism	pyruvate_metabolism	Pyruvate metabolism	pyruvate_metabolism.svg
terpenoid_backbone_biosynthesis	terpenoid_backbone_biosynthesis	Terpenoid backbone biosynthesis	terpenoid_backbone_biosynthesis.svg
amino_sugar_and_nucleotide_sugar_metabolism	amino_sugar_and_nucleotide_sugar_metabolism	Amino sugar and nucleotide sugar metabolism	amino_sugar_and_nucleotide_sugar_metabolism.svg
vitamin_d_metabolism	vitamin_d_metabolism	Vitamin D metabolism	vitamin_d_metabolism.svg
androgen_metabolism	androgen_metabolism	Androgen metabolism	androgen_metabolism.svg
alanine_aspartate_and_glutamate_metabolism	alanine_aspartate_and_glutamate_metabolism	Alanine, aspartate and glutamate metabolism	alanine_aspartate_and_glutamate_metabolism.svg
glutathione_metabolism	glutathione_metabolism	Glutathione metabolism	glutathione_metabolism.svg
pentose_and_glucuronate_interconversions	pentose_and_glucuronate_interconversions	Pentose and glucuronate interconversions	pentose_and_glucuronate_interconversions.svg
serotonin_and_melatonin_biosynthesis	serotonin_and_melatonin_biosynthesis	Serotonin and melatonin biosynthesis	serotonin_and_melatonin_biosynthesis.svg
pentose_phosphate_pathway	pentose_phosphate_pathway	Pentose phosphate pathway	pentose_phosphate_pathway.svg
